Tier 1,Tier 2,Tier 3
IIT Bombay,IIIT Bangalore,"Ramaiah Institute of Technology, Bengaluru"
IIT Delhi,IIIT Delhi,TIET/Thapar University
IIT Kharagpur,IGDTUW,Manipal Main Campus
IIT Madras,NIT Calicut,VIT Vellore
IIT Kanpur,IIITM Gwalior,SRM Main Campus
IIT Roorkee,IIIT Lucknow,"KIIT, Bhubaneswar"
IIT Guwahati,MNNIT Allahabad,Amity University
IIIT Hyderabad,Punjab Engineering College,"BMS College, Bangalore"
BITS Pilani (Pilani Campus),DAIICT,"PES University, Bangalore"
IIT Indore,MNIT Jaipur,"USIT, Delhi"
IIT Ropar,NIT Durgapur,"MAIT, Delhi"
IIT BHU (Varanasi),VNIT Nagpur,"MSIT, Delhi"
IIT ISM Dhanbad,LNMIIT,"Dayanand College of Engineering, Bangalore"
DTU,BIT Mesra,"Heritage Institute of Technology, Kolkata"
NSUT Delhi (NSIT),SVNIT Surat,"IEM, Kolkata"
NIT Tiruchipally (Trichy),NIT Jalandhar,"Techno India, Kolkata"
NIT Warangal,NIT Jamshedpur,"Jaypee, Noida"
NIT Surathkal (Karnataka),NIT Kurukshetra,"Amrita University, Coimbatore"
Jadavpur University,NIT Patna,"Cummins College of Engineering for Women, Pune"
BITS Pilani (Hyderabad Campus),NIT Raipur,
BITS Pilani (Goa Campus),NIT Bhopal,
IIIT Allahabad,NIT Rourkela,
,NIT Silchar,
,NIT Sikkim,
,IIIT Jabalpur,
,Jalpaiguri Government Engineering College,
,IIEST/BESU Shibpur,
,R.V. College of Engineering,
