College,City,Role,Previous CTC,Previous job change,Graduation Marks,EXP (Month),CTC
SVNIT Surat,Asansol,Manager,55523.00,3,66,19,71406.58
NIT Bhopal,Ajmer,Executive,57081.00,1,84,18,68005.87
"IEM, Kolkata",Rajpur Sonarpur,Executive,60347.00,2,52,28,76764.02
"KIIT, Bhubaneswar",Ajmer,Executive,49010.00,2,81,33,82092.39
DTU,Durgapur,Executive,57879.00,4,74,32,73878.10
IIIT Delhi,Kolhapur,Executive,54340.00,4,73,31,59950.89
"BMS College, Bangalore",Surat,Executive,60298.00,1,42,46,66602.34
LNMIIT,Delhi,Executive,49944.00,2,56,37,57768.44
"Dayanand College of Engineering, Bangalore",Chennai,Executive,53124.00,4,40,37,70083.30
NIT Tiruchipally (Trichy),Kolhapur,Executive,51141.00,1,47,60,85648.48
IIT Ropar,Surat,Executive,49497.00,1,50,25,74914.15
NIT Rourkela,Ahmedabad,Manager,50197.00,2,66,62,85219.39
"KIIT, Bhubaneswar",Pune,Executive,63234.00,4,73,23,82910.94
IIT Kanpur,Rajpur Sonarpur,Executive,60059.00,2,71,56,74350.08
SRM Main Campus,Durgapur,Manager,66487.00,1,50,27,103595.83
"IEM, Kolkata",Asansol,Executive,49292.00,4,49,19,70729.63
Punjab Engineering College,Bangalore,Executive,55400.00,4,48,52,70051.94
NIT Tiruchipally (Trichy),Chennai,Executive,53089.00,2,72,23,69403.49
Punjab Engineering College,Ajmer,Executive,69345.00,3,79,56,84710.53
NIT Patna,Rajpur Sonarpur,Manager,63508.00,1,48,30,95879.94
Amity University,Hyderabad,Executive,60057.00,1,61,60,73487.13
IIT Indore,Durgapur,Executive,52402.00,3,35,30,61597.98
"Amrita University, Coimbatore",Kolkata,Executive,60180.00,2,68,18,63119.80
IIIT Delhi,Bangalore,Manager,53422.00,4,44,34,98586.83
IIIT Allahabad,Kolkata,Executive,49857.00,3,37,37,71502.56
IIT Indore,Kozhikode,Executive,48682.00,3,82,59,64320.67
NIT Silchar,Pune,Executive,48516.00,2,37,63,77310.22
IIT BHU (Varanasi),Pune,Executive,54363.00,3,44,55,74825.20
VNIT Nagpur,Pune,Executive,39636.00,3,43,23,59230.44
NIT Sikkim,Rajpur Sonarpur,Manager,65172.00,1,44,31,107138.14
IIT Indore,Rajpur Sonarpur,Manager,58529.00,1,65,22,102763.61
IIITM Gwalior,Durgapur,Executive,50011.00,2,72,18,69764.49
NIT Warangal,Kolhapur,Executive,50020.00,4,75,19,59889.14
